1,2,3,4,5,6,7,8
2,4,6,8,10,12,14,16
4,8,12,16,20,24,28,32
8,16,24,32,40,48,56,64
16,32,48,64,80,96,112,128
32,64,96,128,160,192,224,256
64,128,192,256,320,384,448,512
128,256,384,512,640,768,896,1024
256,512,768,1024,1280,1536,1792,2048
512,1024,1536,2048,2560,3072,3584,4096
1024,2048,3072,4096,5120,6144,7168,8192
2048,4096,6144,8192,10240,12288,14336,16384
4096,8192,12288,16384,20480,24576,28672,32768
8192,16384,24576,32768,40960,49152,57344,65536
16384,32768,49152,65536,81920,98304,114688,131072
32768,65536,98304,131072,163840,196608,229376,262144
