db_id,Internal Name,Species,Disease,Tissue/Tumor,Posting Restriction,Institution,Investigator,Number of Samples,name,description,citation,user_agreement_file_path,readme_file_path,Type,Status,pubmed_id,date_released,last_modified_date,number_of_downloads,number_of_followers,version,curator,QC_statistician,ds_location_awss3
88,Prostate cancer-MSKCC,Human,Cancer,Prostate,unspecified,Memorial Sloan Kettering Cancer Center,Charles Sawyers,261,MSKCC_Prostate_Cancer,"Genetic and epigenetic alterations have been identified that lead to transcriptional Annotation of prostate cancer genomes provides a foundation for discoveries that can impact disease understanding and treatment. Concordant assessment of DNA copy number, mRNA expression, and focused exon resequencing in the 218 prostate cancer tumors represented in this dataset haveidentified the nuclear receptor coactivator NCOA2 as an oncogene in approximately 11% of tumors. Additionally, the androgen-driven TMPRSS2-ERG fusion was associated with a previously unrecognized, prostate-specific deletion at chromosome 3p14 that implicates FOXP1, RYBP, and SHQ1 as potential cooperative tumor suppressors. DNA copy-number data from primary tumors revealed that copy-number alterations robustly define clusters of low- and high-risk disease beyond that achieved by Gleason score.  ","Integrative genomic profiling of human prostate cancer. Taylor BS et al., Cancer Cell. 2010 Jul 13;18(1):11-22.  ",/srv/www/htdocs/Foswiki/downloads/data/v2/user_agreement_files/mskcc_prostate_cancer.txt,/srv/www/htdocs/Foswiki/downloads/data/v2/readme_files/mskcc_prostate_cancer.txt,GCD,Current,20579941,2008-14-9,2009-6-3,32,7,1.0.0,Matt Furia,Solly Sieberts,mskcc_prostate_cancer.zip
13,BxD,Mouse,Metabolic Disease,Liver,No Restriction,UCLA/  Merck & Co.,Jake Lusis/ Merck & Co.,111,Mouse_Model_of_Diet-Induced_Atherosclerosis,"111 female F2 progeny of a C57BL/6J and DBA/2J intercross were examined for multiple measures of femoral bone mass, density, and biomechanical properties using both computerized tomographic and radiographic methods. In addition, body weight and length, adipose tissue mass, plasma lipids and insulin, and aortic fatty lesions were assessed. Mice were on a rodent chow diet up to 12 months of age, and then switched to an atherogenic high-fat, high-cholesterol diet for another 4 months. Mice were killed at 16 months of age.  Liver tissue was profiled for expression traits using a custom mouse gene oligonucleotide microarray (Rosetta Inpharmatics) that contained 23,574 non-control oligonucleotide probes for mouse genes and 2,186 control probes. All microarrays were custom ink-jet microarrays fabricated by Agilent Technologies. A complete linkage map for all chromosomes except Y in mouse was constructed at an average density of 13cM using microsatellite markers. ","Genetic loci determining bone density in mice with diet-induced atherosclerosis.  Drake TA, Schadt E, Hannani K, Kabo JM, Krass K, Colinayo V, Greaser LE 3rd, Goldin J, Lusis AJ. Physiol Genomics. 2001 Apr 27;5(4):205-15. PMID: 11328966   Genetics of gene expression surveyed in maize, mouse and man. Schadt EE, Monks SA, Drake TA, Lusis AJ, Che N, Colinayo V, Ruff TG, Milligan SB, Lamb JR, Cavet G, Linsley PS, Mao M, Stoughton RB, Friend SH. Nature. 2003 Mar 20;422(6929):297-302.PMID: 12646919 ",/srv/www/htdocs/Foswiki/downloads/data/v2/user_agreement_files/mouse_model_of_diet-induced_atherosclerosis.txt,/srv/www/htdocs/Foswiki/downloads/data/v2/readme_files/mouse_model_of_diet-induced_atherosclerosis.txt,GCD,Current,18406497,2010-5-8,2010-22-11,60,101,1.0.0,Matt Furia,Solly Sieberts,NA
14,BxH ApoE,Mouse,CVD,Adipose,No Restriction,UCLA/  Merck & Co.,Jake Lusis/ Merck & Co.,334,Mouse_Model_of_Sexually_Dimorphic_Atherosclerotic_Traits,"C57BL/6J and C3H/HeJ inbred mouse strains exhibit dramatically different cardiovascular and metabolic phenotypes on the hyperlipidemic apolipoprotein E (Apoe) null background.  In order to identify the genes that contribute to these differences, we constructed an F2 intercross between the B6.Apoe-/- and C3H.Apoe-/- strains consisting of 334 animals.  The mice were fed on a chow diet until 8 weeks of age, then fed a high fat (42% fat) ""western"" diet for 16 weeks to exacerbate the phenotypes and euthanized at 24 weeks of age via cervical dislocation.  Prior to death, mice were fasted for 4 hours in the morning, anesthetized using Isoflurane, and weighed.   Blood was collected by retro-orbital bleed; plasma was frozen at -800C.  We measured plasma cholesterol, HDL, LDL, triglycerides, free fatty acids, glucose, insulin, leptin, adiponectin and PON1 activity levels.  Liver, brain, skeletal muscle (hamstring) and adipose (gonadal fat pad) were flash frozen in liquid nitrogen. RNA was isolated from the tissues using the Trizol method and utilized in microarray analysis on a custom 60mer Agilent chip (reference for chip would be useful).  Hepatic cholesterol, triglyceride and free fatty acid levels were also measured.  Hearts and aortae were extracted, perfused and fixed for atherosclerotic lesion analysis.  The aortic arch was serially sectioned through to the aortic sinus with every fifth 10um section stained with hematoxylin and oil-red-o, which specifically stains lipids.  Slides were examined by light microscopy.  The fatty streak lesion area was quantified using an ocular with a grid; forty sections per mouse were quantified and averaged.  Vascular calcification and aneurysm formation were also measured in a semi-quantitative manner based on presence or absence and size or severity. DNA was isolated from kidney using a phenol chloroform extraction method.  The mice were genotyped at 1500 SNPs using the ParAllele molecular inversion probe technology; 1353 SNPs passed quality control for a final marker density of 1.5cM. ","Integrating genetic and network analysis to characterize genes related to mouse weight. Ghazalpour, A., et al., PLoS Genet, 2006. 2(8): p. e130.  Dosage compensation is less effective in birds than in mammals. Itoh, Y., et al., J Biol, 2007. 6(1): p. 2.  Elucidating the murine brain transcriptional network in a segregating mouse population to identify core functional modules for obesity and diabetes.  Lum, P.Y., et al., J Neurochem, 2006. 97 Suppl 1: p. 50-62.  Identification of Abcc6 as the major causal gene for dystrophic cardiac calcification in mice through integrative genomics. Meng, H., et al. Proc Natl Acad Sci U S A, 2007. 104(11): p. 4530-5.  Mapping the genetic architecture of gene expression in human liver. Schadt, E.E., et al.,  PLoS Biol, 2008. 6(5): p. e107.  Elucidating the role of gonadal hormones in sexually dimorphic gene coexpression networks.  van Nas, A., et al., Endocrinology, 2009. 150(3): p. 1235-49.  Identification of pathways for atherosclerosis in mice: integration of quantitative trait locus analysis and global gene expression data. Wang, S.S., et al., Circ Res, 2007. 101(3): p. e11-30.  Tissue-specific expression and regulation of sexually dimorphic genes in mice. Yang, X., et al., Genome Res, 2006. 16(8): p. 995-1004. ",/srv/www/htdocs/Foswiki/downloads/data/v2/user_agreement_files/mouse_model_of_sexually_dimorphic_atherosclerotic_traits.txt,/srv/www/htdocs/Foswiki/downloads/data/v2/readme_files/mouse_model_of_sexually_dimorphic_atherosclerotic_traits.txt,GCD,Current,20502305,2008-16-10,2010-6-9,45,59,1.0.0,Matt Furia,Solly Sieberts,mouse_model_of_sexually_dimorphic_atherosclerotic_traits.zip
14,BxH ApoE,Mouse,CVD,Liver,No Restriction,UCLA/  Merck & Co.,Jake Lusis/ Merck & Co.,334,Mouse_Model_of_Sexually_Dimorphic_Atherosclerotic_Traits,"C57BL/6J and C3H/HeJ inbred mouse strains exhibit dramatically different cardiovascular and metabolic phenotypes on the hyperlipidemic apolipoprotein E (Apoe) null background.  In order to identify the genes that contribute to these differences, we constructed an F2 intercross between the B6.Apoe-/- and C3H.Apoe-/- strains consisting of 334 animals.  The mice were fed on a chow diet until 8 weeks of age, then fed a high fat (42% fat) ""western"" diet for 16 weeks to exacerbate the phenotypes and euthanized at 24 weeks of age via cervical dislocation.  Prior to death, mice were fasted for 4 hours in the morning, anesthetized using Isoflurane, and weighed.   Blood was collected by retro-orbital bleed; plasma was frozen at -800C.  We measured plasma cholesterol, HDL, LDL, triglycerides, free fatty acids, glucose, insulin, leptin, adiponectin and PON1 activity levels.  Liver, brain, skeletal muscle (hamstring) and adipose (gonadal fat pad) were flash frozen in liquid nitrogen. RNA was isolated from the tissues using the Trizol method and utilized in microarray analysis on a custom 60mer Agilent chip (reference for chip would be useful).  Hepatic cholesterol, triglyceride and free fatty acid levels were also measured.  Hearts and aortae were extracted, perfused and fixed for atherosclerotic lesion analysis.  The aortic arch was serially sectioned through to the aortic sinus with every fifth 10um section stained with hematoxylin and oil-red-o, which specifically stains lipids.  Slides were examined by light microscopy.  The fatty streak lesion area was quantified using an ocular with a grid; forty sections per mouse were quantified and averaged.  Vascular calcification and aneurysm formation were also measured in a semi-quantitative manner based on presence or absence and size or severity. DNA was isolated from kidney using a phenol chloroform extraction method.  The mice were genotyped at 1500 SNPs using the ParAllele molecular inversion probe technology; 1353 SNPs passed quality control for a final marker density of 1.5cM. ","Integrating genetic and network analysis to characterize genes related to mouse weight. Ghazalpour, A., et al., PLoS Genet, 2006. 2(8): p. e130.  Dosage compensation is less effective in birds than in mammals. Itoh, Y., et al., J Biol, 2007. 6(1): p. 2.  Elucidating the murine brain transcriptional network in a segregating mouse population to identify core functional modules for obesity and diabetes.  Lum, P.Y., et al., J Neurochem, 2006. 97 Suppl 1: p. 50-62.  Identification of Abcc6 as the major causal gene for dystrophic cardiac calcification in mice through integrative genomics. Meng, H., et al. Proc Natl Acad Sci U S A, 2007. 104(11): p. 4530-5.  Mapping the genetic architecture of gene expression in human liver. Schadt, E.E., et al.,  PLoS Biol, 2008. 6(5): p. e107.  Elucidating the role of gonadal hormones in sexually dimorphic gene coexpression networks.  van Nas, A., et al., Endocrinology, 2009. 150(3): p. 1235-49.  Identification of pathways for atherosclerosis in mice: integration of quantitative trait locus analysis and global gene expression data. Wang, S.S., et al., Circ Res, 2007. 101(3): p. e11-30.  Tissue-specific expression and regulation of sexually dimorphic genes in mice. Yang, X., et al., Genome Res, 2006. 16(8): p. 995-1004. ",/srv/www/htdocs/Foswiki/downloads/data/v2/user_agreement_files/mouse_model_of_sexually_dimorphic_atherosclerotic_traits.txt,/srv/www/htdocs/Foswiki/downloads/data/v2/readme_files/mouse_model_of_sexually_dimorphic_atherosclerotic_traits.txt,GCD,Current,24031645,2008-23-10,2010-4-11,40,125,1.0.0,Matt Furia,Solly Sieberts,mouse_model_of_sexually_dimorphic_atherosclerotic_traits.zip
14,BxH ApoE,Mouse,CVD,Brain,No Restriction,UCLA/  Merck & Co.,Jake Lusis/ Merck & Co.,334,Mouse_Model_of_Sexually_Dimorphic_Atherosclerotic_Traits,"C57BL/6J and C3H/HeJ inbred mouse strains exhibit dramatically different cardiovascular and metabolic phenotypes on the hyperlipidemic apolipoprotein E (Apoe) null background.  In order to identify the genes that contribute to these differences, we constructed an F2 intercross between the B6.Apoe-/- and C3H.Apoe-/- strains consisting of 334 animals.  The mice were fed on a chow diet until 8 weeks of age, then fed a high fat (42% fat) ""western"" diet for 16 weeks to exacerbate the phenotypes and euthanized at 24 weeks of age via cervical dislocation.  Prior to death, mice were fasted for 4 hours in the morning, anesthetized using Isoflurane, and weighed.   Blood was collected by retro-orbital bleed; plasma was frozen at -800C.  We measured plasma cholesterol, HDL, LDL, triglycerides, free fatty acids, glucose, insulin, leptin, adiponectin and PON1 activity levels.  Liver, brain, skeletal muscle (hamstring) and adipose (gonadal fat pad) were flash frozen in liquid nitrogen. RNA was isolated from the tissues using the Trizol method and utilized in microarray analysis on a custom 60mer Agilent chip (reference for chip would be useful).  Hepatic cholesterol, triglyceride and free fatty acid levels were also measured.  Hearts and aortae were extracted, perfused and fixed for atherosclerotic lesion analysis.  The aortic arch was serially sectioned through to the aortic sinus with every fifth 10um section stained with hematoxylin and oil-red-o, which specifically stains lipids.  Slides were examined by light microscopy.  The fatty streak lesion area was quantified using an ocular with a grid; forty sections per mouse were quantified and averaged.  Vascular calcification and aneurysm formation were also measured in a semi-quantitative manner based on presence or absence and size or severity. DNA was isolated from kidney using a phenol chloroform extraction method.  The mice were genotyped at 1500 SNPs using the ParAllele molecular inversion probe technology; 1353 SNPs passed quality control for a final marker density of 1.5cM. ","Integrating genetic and network analysis to characterize genes related to mouse weight. Ghazalpour, A., et al., PLoS Genet, 2006. 2(8): p. e130.  Dosage compensation is less effective in birds than in mammals. Itoh, Y., et al., J Biol, 2007. 6(1): p. 2.  Elucidating the murine brain transcriptional network in a segregating mouse population to identify core functional modules for obesity and diabetes.  Lum, P.Y., et al., J Neurochem, 2006. 97 Suppl 1: p. 50-62.  Identification of Abcc6 as the major causal gene for dystrophic cardiac calcification in mice through integrative genomics. Meng, H., et al. Proc Natl Acad Sci U S A, 2007. 104(11): p. 4530-5.  Mapping the genetic architecture of gene expression in human liver. Schadt, E.E., et al.,  PLoS Biol, 2008. 6(5): p. e107.  Elucidating the role of gonadal hormones in sexually dimorphic gene coexpression networks.  van Nas, A., et al., Endocrinology, 2009. 150(3): p. 1235-49.  Identification of pathways for atherosclerosis in mice: integration of quantitative trait locus analysis and global gene expression data. Wang, S.S., et al., Circ Res, 2007. 101(3): p. e11-30.  Tissue-specific expression and regulation of sexually dimorphic genes in mice. Yang, X., et al., Genome Res, 2006. 16(8): p. 995-1004. ",/srv/www/htdocs/Foswiki/downloads/data/v2/user_agreement_files/mouse_model_of_sexually_dimorphic_atherosclerotic_traits.txt,/srv/www/htdocs/Foswiki/downloads/data/v2/readme_files/mouse_model_of_sexually_dimorphic_atherosclerotic_traits.txt,GCD,Current,23956285,2009-11-4,2009-3-9,72,67,1.0.0,Matt Furia,Solly Sieberts,mouse_model_of_sexually_dimorphic_atherosclerotic_traits.zip
14,BxH ApoE,Mouse,CVD,Muscle,No Restriction,UCLA/  Merck & Co.,Jake Lusis/ Merck & Co.,334,Mouse_Model_of_Sexually_Dimorphic_Atherosclerotic_Traits,"C57BL/6J and C3H/HeJ inbred mouse strains exhibit dramatically different cardiovascular and metabolic phenotypes on the hyperlipidemic apolipoprotein E (Apoe) null background.  In order to identify the genes that contribute to these differences, we constructed an F2 intercross between the B6.Apoe-/- and C3H.Apoe-/- strains consisting of 334 animals.  The mice were fed on a chow diet until 8 weeks of age, then fed a high fat (42% fat) ""western"" diet for 16 weeks to exacerbate the phenotypes and euthanized at 24 weeks of age via cervical dislocation.  Prior to death, mice were fasted for 4 hours in the morning, anesthetized using Isoflurane, and weighed.   Blood was collected by retro-orbital bleed; plasma was frozen at -800C.  We measured plasma cholesterol, HDL, LDL, triglycerides, free fatty acids, glucose, insulin, leptin, adiponectin and PON1 activity levels.  Liver, brain, skeletal muscle (hamstring) and adipose (gonadal fat pad) were flash frozen in liquid nitrogen. RNA was isolated from the tissues using the Trizol method and utilized in microarray analysis on a custom 60mer Agilent chip (reference for chip would be useful).  Hepatic cholesterol, triglyceride and free fatty acid levels were also measured.  Hearts and aortae were extracted, perfused and fixed for atherosclerotic lesion analysis.  The aortic arch was serially sectioned through to the aortic sinus with every fifth 10um section stained with hematoxylin and oil-red-o, which specifically stains lipids.  Slides were examined by light microscopy.  The fatty streak lesion area was quantified using an ocular with a grid; forty sections per mouse were quantified and averaged.  Vascular calcification and aneurysm formation were also measured in a semi-quantitative manner based on presence or absence and size or severity. DNA was isolated from kidney using a phenol chloroform extraction method.  The mice were genotyped at 1500 SNPs using the ParAllele molecular inversion probe technology; 1353 SNPs passed quality control for a final marker density of 1.5cM. ","Integrating genetic and network analysis to characterize genes related to mouse weight. Ghazalpour, A., et al., PLoS Genet, 2006. 2(8): p. e130.  Dosage compensation is less effective in birds than in mammals. Itoh, Y., et al., J Biol, 2007. 6(1): p. 2.  Elucidating the murine brain transcriptional network in a segregating mouse population to identify core functional modules for obesity and diabetes.  Lum, P.Y., et al., J Neurochem, 2006. 97 Suppl 1: p. 50-62.  Identification of Abcc6 as the major causal gene for dystrophic cardiac calcification in mice through integrative genomics. Meng, H., et al. Proc Natl Acad Sci U S A, 2007. 104(11): p. 4530-5.  Mapping the genetic architecture of gene expression in human liver. Schadt, E.E., et al.,  PLoS Biol, 2008. 6(5): p. e107.  Elucidating the role of gonadal hormones in sexually dimorphic gene coexpression networks.  van Nas, A., et al., Endocrinology, 2009. 150(3): p. 1235-49.  Identification of pathways for atherosclerosis in mice: integration of quantitative trait locus analysis and global gene expression data. Wang, S.S., et al., Circ Res, 2007. 101(3): p. e11-30.  Tissue-specific expression and regulation of sexually dimorphic genes in mice. Yang, X., et al., Genome Res, 2006. 16(8): p. 995-1004. ",/srv/www/htdocs/Foswiki/downloads/data/v2/user_agreement_files/mouse_model_of_sexually_dimorphic_atherosclerotic_traits.txt,/srv/www/htdocs/Foswiki/downloads/data/v2/readme_files/mouse_model_of_sexually_dimorphic_atherosclerotic_traits.txt,GCD,Current,19147482,2009-9-9,2011-11-9,24,93,1.0.0,Matt Furia,Solly Sieberts,mouse_model_of_sexually_dimorphic_atherosclerotic_traits.zip
29,Deliver,Human,CVD,Liver,Link to data source,Vanderbilt University/ University of Pittsburg/ StJudes Hospital/ Merck & Co.,Fred Guengrich/Steve Strom/ Erin Schuetz/ Merck & Co.,517,Human_Liver_Cohort,"The Human Liver Cohort (HLC) study aimed to characterize the genetic architecture of gene expression in human liver using genotyping, gene expression profiling, and enzyme activity measurements of Cytochrom P450. The HLC was assembled from a total of 780 liver samples screened.  These liver samples were acquired from caucasian individuals from three independant tissue collection centers.   DNA samples were genotyped on the Affymetrix 500K SNP and Illumina 650Y SNP genotyping arrays representing a total of 782,476 unique single nucleotide polymorphisms (SNPs). Only the genotype data from those samples which were collected postmortem are accessible in dbGap and here.  These 228 samples represent a subset of the 427 samples included in the Human Liver Cohort Publication (Schadt, Molony et al. 2008).  RNA samples were profiled on a custom Agilent 44,000 feature microarray composed of 39,280 oligonucleotide probes targeting transcripts representing 34,266 known and predicted genes, including high-confidence, noncoding RNA sequences. Each of the liver samples was processed into cytosol and microsomes using a standard differential centrifugation method. The activities of nine P450 enzymes (CYP1A2, 2A6, 2B6, 2C8, 2C9, 2C19, 2D6, 2E1, and 3A4) in isolated microsomes from 398 HLC liver samples were measured in the microsome preparations using probe substrate metabolism assays  expressed as nmol/min/mg protein.  Each was measured with a single substrate except for the CYP3A4 activity that was measured using two substrates, midazolam and testosterone. ","Mapping the genetic architecture of gene expression in human liver. Eric E. Schadt, Cliona Molony, Eugene Chudin, Ke Hao, Xia Yang, Pek Y. Lum, Andrew Kasarskis, Bin Zhang, Susanna Wang, Christine Suver, Jun Zhu, Joshua Millstein, Solveig Sieberts, John Lamb, Debraj GuhaThakurta, Jonathan Derry, John D. Storey, Iliana Avila-Campillo, Mark J. Kruger, Jason M. Johnson, Carol A. Rohl, Atila van Nas, Margarete Mehrabian, Thomas A. Drake, Aldons J. Lusis, Ryan C. Smith, F. Peter Guengerich, Stephen C. Strom, Erin Schuetz, Thomas H. Rushmore, Roger Ulrich. PLoS Biol, 2008. 6(5): p. e107. PMID: 18462017 	 	 Systematic Genetic and Genomic Analysis of Cytochrome P450 Enzyme Activities in Human Liver. Xia Yang, Bin Zhang, Cliona Molony, Eugene Chudin, Ke Hao, Jun Zhu, Christine Suver, Hua Zhong, F. Peter Guengerich, Stephen C. Strom, Erin Schuetz, Thomas H. Rushmore, Roger G. Ulrich, J. Greg Slatter, Eric E. Schadt, Andrew Kasarskis, Pek Yee Lum. Genome Res. 2010 Aug;20(8):1020-36.   ",/srv/www/htdocs/Foswiki/downloads/data/v2/user_agreement_files/human_liver_cohort.txt,/srv/www/htdocs/Foswiki/downloads/data/v2/readme_files/human_liver_cohort.txt,GCD,Current,16258887,2009-19-4,2011-7-6,57,31,1.0.0,Matt Furia,Solly Sieberts,human_liver_cohort.zip
30,Flint_Hsmice,Mouse,Multiple,Hippocampus,unspecified,Oxford,Flint/Mott,1900,Heterogeneous_Stock_Mice,"This dataset contains data on several hundred heterogeneous stock mice derived from 8 parental lines (A/J, AKR/J, BALBc/J, CBA/J, C3H/HeJ, C57BL/6J, DBA/2J, and LP/J).  Data includes genome-wide DNA variation as well as genome-wide expression profiling of lung (285 mice), liver (273 mice), and hippocampus (468 mice). Expression profiling for this project was one of the first to use the Illumina mouse expression beadchips. Extensive phenotyping for traits related to asthma, type 2 diabetes mellitus, obesity and anxiety was also performed. ","Genome-wide genetic association of complex traits in heterogeneous stock mice. Valdar W, Solberg LC, Gauguier D, Burnett S, Klenerman P, Cookson WO, Taylor MS, Rawlins JN, Mott R, Flint J. Nat Genet. 2006 Aug;38(8):879-87.   A resource for the simultaneous high-resolution mapping of multiple quantitative trait loci in rats: the NIH heterogeneous stock. Johannesson M, Lopez-Aumatell R, Stridh P, Diez M, Tuncel J, Blazquez G, Martinez-Membrives E, Canete T, Vicens-Costa E, Graham D, Copley RR, Hernandez-Pliego P, Beyeen AD, Ockinger J, Fernandez-Santamaria C, Gulko PS, Brenner M, Tobena A, Guitart-Masip M, Gimenez-Llort L, Dominiczak A, Holmdahl R, Gauguier D, Olsson T, Mott R, Valdar W, Redei EE, Fernandez-Teruel A, Flint J. Genome Res. 2009 Jan;19(1):150-8.   High resolution mapping of expression QTLs in heterogeneous stock mice in multiple tissues. Huang GJ, Shifman S, Valdar W, Johannesson M, Yalcin B, Taylor MS, Taylor JM, Mott R, Flint J. Genome Res. 2009 Jun;19(6):1133-40.   http://mus.well.ox.ac.uk/mouse/HS/ ",/srv/www/htdocs/Foswiki/downloads/data/v2/user_agreement_files/heterogeneous_stock_mice.txt,/srv/www/htdocs/Foswiki/downloads/data/v2/readme_files/heterogeneous_stock_mice.txt,GCD,Current,21923111,2011-25-11,2011-24-12,53,84,1.0.0,Matt Furia,Solly Sieberts,heterogeneous_stock_mice.zip
30,Flint_Hsmice,Mouse,Multiple,Lung,unspecified,Oxford,Flint/Mott,1900,Heterogeneous_Stock_Mice,"This dataset contains data on several hundred heterogeneous stock mice derived from 8 parental lines (A/J, AKR/J, BALBc/J, CBA/J, C3H/HeJ, C57BL/6J, DBA/2J, and LP/J).  Data includes genome-wide DNA variation as well as genome-wide expression profiling of lung (285 mice), liver (273 mice), and hippocampus (468 mice). Expression profiling for this project was one of the first to use the Illumina mouse expression beadchips. Extensive phenotyping for traits related to asthma, type 2 diabetes mellitus, obesity and anxiety was also performed. ","Genome-wide genetic association of complex traits in heterogeneous stock mice. Valdar W, Solberg LC, Gauguier D, Burnett S, Klenerman P, Cookson WO, Taylor MS, Rawlins JN, Mott R, Flint J. Nat Genet. 2006 Aug;38(8):879-87.   A resource for the simultaneous high-resolution mapping of multiple quantitative trait loci in rats: the NIH heterogeneous stock. Johannesson M, Lopez-Aumatell R, Stridh P, Diez M, Tuncel J, Blazquez G, Martinez-Membrives E, Canete T, Vicens-Costa E, Graham D, Copley RR, Hernandez-Pliego P, Beyeen AD, Ockinger J, Fernandez-Santamaria C, Gulko PS, Brenner M, Tobena A, Guitart-Masip M, Gimenez-Llort L, Dominiczak A, Holmdahl R, Gauguier D, Olsson T, Mott R, Valdar W, Redei EE, Fernandez-Teruel A, Flint J. Genome Res. 2009 Jan;19(1):150-8.   High resolution mapping of expression QTLs in heterogeneous stock mice in multiple tissues. Huang GJ, Shifman S, Valdar W, Johannesson M, Yalcin B, Taylor MS, Taylor JM, Mott R, Flint J. Genome Res. 2009 Jun;19(6):1133-40.   http://mus.well.ox.ac.uk/mouse/HS/ ",/srv/www/htdocs/Foswiki/downloads/data/v2/user_agreement_files/heterogeneous_stock_mice.txt,/srv/www/htdocs/Foswiki/downloads/data/v2/readme_files/heterogeneous_stock_mice.txt,GCD,Current,20962456,2008-9-6,2008-22-11,19,118,1.0.0,Matt Furia,Solly Sieberts,heterogeneous_stock_mice.zip
30,Flint_Hsmice,Mouse,Multiple,Liver,unspecified,Oxford,Flint/Mott,1900,Heterogeneous_Stock_Mice,"This dataset contains data on several hundred heterogeneous stock mice derived from 8 parental lines (A/J, AKR/J, BALBc/J, CBA/J, C3H/HeJ, C57BL/6J, DBA/2J, and LP/J).  Data includes genome-wide DNA variation as well as genome-wide expression profiling of lung (285 mice), liver (273 mice), and hippocampus (468 mice). Expression profiling for this project was one of the first to use the Illumina mouse expression beadchips. Extensive phenotyping for traits related to asthma, type 2 diabetes mellitus, obesity and anxiety was also performed. ","Genome-wide genetic association of complex traits in heterogeneous stock mice. Valdar W, Solberg LC, Gauguier D, Burnett S, Klenerman P, Cookson WO, Taylor MS, Rawlins JN, Mott R, Flint J. Nat Genet. 2006 Aug;38(8):879-87.   A resource for the simultaneous high-resolution mapping of multiple quantitative trait loci in rats: the NIH heterogeneous stock. Johannesson M, Lopez-Aumatell R, Stridh P, Diez M, Tuncel J, Blazquez G, Martinez-Membrives E, Canete T, Vicens-Costa E, Graham D, Copley RR, Hernandez-Pliego P, Beyeen AD, Ockinger J, Fernandez-Santamaria C, Gulko PS, Brenner M, Tobena A, Guitart-Masip M, Gimenez-Llort L, Dominiczak A, Holmdahl R, Gauguier D, Olsson T, Mott R, Valdar W, Redei EE, Fernandez-Teruel A, Flint J. Genome Res. 2009 Jan;19(1):150-8.   High resolution mapping of expression QTLs in heterogeneous stock mice in multiple tissues. Huang GJ, Shifman S, Valdar W, Johannesson M, Yalcin B, Taylor MS, Taylor JM, Mott R, Flint J. Genome Res. 2009 Jun;19(6):1133-40.   http://mus.well.ox.ac.uk/mouse/HS/ ",/srv/www/htdocs/Foswiki/downloads/data/v2/user_agreement_files/heterogeneous_stock_mice.txt,/srv/www/htdocs/Foswiki/downloads/data/v2/readme_files/heterogeneous_stock_mice.txt,GCD,Current,16898139,2011-29-5,2011-3-8,17,84,1.0.0,Matt Furia,Solly Sieberts,heterogeneous_stock_mice.zip
38,GSK_Cell_Lines,Human,Cancer,Cell Line,unspecified,GlaxoSmithKline (GSK),Richard Wooster,649,Cancer_Cell_line_Panel,GlaxoSmithKline (GSK) has released the genomic profiling data for over 300 cancer cell lines via the National Cancer Institute’s cancer Bioinformatics Grid™ (caBIG®). Cancer cell lines can be manipulated in the laboratory and have been used extensively by GSK in the discovery and development of novel cancer therapeutics. These data are available through caArray. ,This data set was generated and is provided for public use by GlaxoSmithKline.  https://cabig.nci.nih.gov/caArray_GSKdata/ ,/srv/www/htdocs/Foswiki/downloads/data/v2/user_agreement_files/cancer_cell_line_panel.txt,/srv/www/htdocs/Foswiki/downloads/data/v2/readme_files/cancer_cell_line_panel.txt,GCD,Current,20290476,2008-20-12,2009-9-11,70,51,1.0.0,Matt Furia,Solly Sieberts,cancer_cell_line_panel.zip
42,HBTRC,Human,Neurological Disease,Brain prefrontal cortex,unspecified,Harvard Brain Tissue Resource Center/ Merck & Co.,Francine Benes/ Eric Schadt,803,Harvard_Brain_Tissue_Resource_Center,"This study aims at identifying functional variation in the human genome (especially as it pertains to brain expressed RNAs) and elucidate its relationship to disease and drug response. The ~800 individuals in this dataset are composed of approximately 400 Alzheimers disease (AD) cases, 230 Huntington's Disease and 170 controls matched for age, gender, and post mortem interval (PMI).  The tissue specimens for this study were provided by Harvard Brain Tissue Resource Center (HBTRC).   Three brain regions (cerebellum, visual cortex, and dorsolateral prefrontal cortex) from the same individuals were profiled on a custom-made Agilent 44K microarray of 39,280 DNA probes uniquely targeting 37,585 known and predicted genes, including splice variants, miRNAs and high-confidence non-coding RNA sequences. The individuals were genotyped on two different platforms, the Illumina HumanHap650Y array and a custom Perlegen 300K array (a focused panel for detection of singleton SNPs). Clinical outcomes available include age at onset, age at death, Braak scores (AD), Vonsattel scores (HD), Regional brain enlargement/atrophy. ",Not yet published. ,/srv/www/htdocs/Foswiki/downloads/data/v2/user_agreement_files/harvard_brain_tissue_resource_center.txt,/srv/www/htdocs/Foswiki/downloads/data/v2/readme_files/harvard_brain_tissue_resource_center.txt,GCD,Current,22029701,2011-18-8,2011-30-11,47,53,1.0.0,Matt Furia,Solly Sieberts,harvard_brain_tissue_resource_center.zip
